payment_id,order_id,amount,currency,status,method,description,created_at,settled_at,fee,tax,settlement_id
pay_FQwUZwyezAgudK,order_81P22CvG1HZ0gZ,4671.19,INR,captured,card,Payment for INV-2026-3937,2026-08-10T09:15:11.999Z,2026-08-10T09:15:11.999Z,93.42,16.82,setl_1ZDr5a2084olWm
pay_OvN3kgYw0HgbSv,order_ZOqS3ljKko9J4P,2035.09,INR,captured,upi,Payment for INV-2026-0043,2026-08-19T11:47:34.698Z,2026-08-19T11:47:34.698Z,40.7,7.33,setl_AJKP6r1spJxoAs
pay_xHZobvkGc0X0R6,order_TUFCImMTXuZzMl,2444.79,INR,captured,netbanking,Payment for INV-2026-0475,2026-07-29T18:11:32.011Z,2026-07-31T18:11:32.011Z,48.9,8.8,setl_siJvVN1ArRRsX3
pay_Cw3jKAV6cGpMG2,order_43WJmaWrOXuC9b,1219.99,INR,captured,upi,Payment for INV-2026-8372,2026-07-31T06:21:45.668Z,2026-07-31T06:21:45.668Z,24.4,4.39,setl_5CFJBzWOMvrjBR
pay_ZOGZtXETOq1UkU,order_ISxX8hoMhF3fx3,4639.45,INR,captured,upi,Payment for INV-2026-5556,2026-08-09T13:25:38.718Z,2026-08-09T13:25:38.718Z,92.79,16.7,setl_jYMWFvJ5okzT7b
pay_oukR9KzLzl1d7f,order_notnHP9U58lrSo,2034.12,INR,captured,upi,Payment for INV-2026-9697,2026-07-29T14:22:38.817Z,2026-07-29T14:22:38.817Z,40.68,7.32,setl_HMAs7MPpyPL40N
pay_29Hoid5dCEug5C,order_2pitNh4Cl1pC2f,2709.89,INR,failed,upi,Payment for INV-2026-6379,2026-07-29T13:11:47.914Z,,0,0,
pay_fRqV3PRI49n05q,order_JExd7oL8Y9l8NJ,3723.09,INR,captured,upi,Payment for INV-2026-3674,2026-08-02T18:35:54.682Z,2026-08-02T18:35:54.682Z,74.46,13.4,setl_pYcp7gzTtv3P6A
pay_VjU4yuMEGccRnF,order_jzr9gWiT2O6JHK,3191.59,INR,captured,upi,Payment for INV-2026-8567,2026-08-20T06:38:46.420Z,2026-08-20T06:38:46.420Z,63.83,11.49,setl_i6ZjKQScgi3des
pay_M2r6RyULGXZs5w,order_yYl577Nnwqvi1C,2651,INR,captured,card,Payment for INV-2026-1060,2026-08-14T04:06:09.502Z,2026-08-14T04:06:09.502Z,53.02,9.54,setl_toLma7WIHfWHop
pay_XdTl5ClO5bz3es,order_YSQL992T1zW2ga,1254.69,INR,captured,netbanking,Payment for INV-2026-2844,2026-08-04T10:07:47.223Z,2026-08-05T10:07:47.223Z,25.09,4.52,setl_kMPMd44plcHYWu
pay_EVOw24hkGeremw,order_xV00P56zRnjSCc,4828.89,INR,captured,card,Payment for INV-2026-8748,2026-08-03T04:47:47.924Z,2026-08-03T04:47:47.924Z,96.58,17.38,setl_siY19D9kjbUz8N
pay_0MpuQwBxCArJ6b,order_C1A0Hu64SKvCON,3577.47,INR,failed,upi,Payment for INV-2026-7553,2026-08-05T10:41:31.685Z,,0,0,
pay_Yl6AY7umR6ikKN,order_6PJt0w6Ixn4Zxf,3809.05,INR,captured,upi,Payment for INV-2026-2817,2026-08-14T02:06:14.840Z,2026-08-14T02:06:14.840Z,76.18,13.71,setl_Cur6YWfca7ZJwm
pay_RNr4kooxyPmTPV,order_XYvhxMUSm9dOUk,589.99,INR,captured,card,Payment for INV-2026-3879,2026-08-07T11:49:33.725Z,2026-08-07T11:49:33.725Z,11.8,2.12,setl_PXWluJqFFHTRgQ
pay_a2dMH2jPQWadFo,order_MNIDLRSI4mzZHu,3090.99,INR,captured,netbanking,Payment for INV-2026-4986,2026-08-21T18:43:53.451Z,2026-08-25T18:43:53.451Z,61.82,11.13,setl_SLGcX8jcwhggHk
pay_UtDjDC841ypJSl,order_2R7Ny17MLD3iw9,3883.19,INR,captured,upi,Payment for INV-2026-0516,2026-08-17T07:53:36.403Z,2026-08-17T07:53:36.403Z,77.66,13.98,setl_igDpfq38TVrc2h
pay_rHikaKshbAPVUd,order_lLUGjm2HNWcBxA,3127.79,INR,captured,upi,Payment for INV-2026-4112,2026-08-10T12:39:49.429Z,2026-08-10T12:39:49.429Z,62.56,11.26,setl_FJs9DZsMbKZhIw
pay_lNwQR6RnzZ4O9R,order_wVGoY9ohPQ7kaO,4553.65,INR,failed,upi,Payment for INV-2026-0282,2026-08-06T10:05:21.298Z,,0,0,
pay_0QUuqrjVeQNwM3,order_5CyCqUFi39pYkr,1862.99,INR,captured,upi,Payment for INV-2026-2259,2026-08-17T18:13:52.966Z,2026-08-17T18:13:52.966Z,37.26,6.71,setl_GsMLwuTtncWV8l
pay_lLl4jY7QA2AT0j,order_EKdfgOGzVp6y17,2534.79,INR,captured,card,Payment for INV-2026-1131,2026-08-08T16:00:28.225Z,2026-08-08T16:00:28.225Z,50.7,9.13,setl_r81w7WPOJZkebu
pay_UYtHkJvFwIfpVP,order_stoOkM8EFHsHXN,1727.65,INR,captured,upi,Payment for INV-2026-4561,2026-08-15T12:24:32.247Z,2026-08-15T12:24:32.247Z,34.55,6.22,setl_nyKzNWoPn5DZW4
pay_udTaOLmVmyOmZv,order_girwWpe08x0wob,4569.45,INR,captured,upi,Payment for INV-2026-9096,2026-08-17T01:03:24.271Z,2026-08-17T01:03:24.271Z,91.39,16.45,setl_YsIcjykWFNuxHz
pay_jm6nlnLPUH5vgS,order_vzzkM9TdMzvvFj,3450.75,INR,captured,card,Payment for INV-2026-2938,2026-08-21T17:29:03.117Z,2026-08-21T17:29:03.117Z,69.02,12.42,setl_EYz9t63P385Yi3
pay_if4ysUocawuqbQ,order_iJeSx3nlucfHXd,3598.49,INR,failed,upi,Payment for INV-2026-3213,2026-08-16T22:44:09.845Z,,0,0,
pay_xSQbehZgu0BrIA,order_QoD4QpsMHTZzLF,4417.35,INR,captured,upi,Payment for INV-2026-6764,2026-08-14T19:32:17.179Z,2026-08-14T19:32:17.179Z,88.35,15.9,setl_RK8H48HyMbnFDH
pay_p8m9PNgndViubk,order_yNe69zUABXLU1d,284.29,INR,captured,netbanking,Payment for INV-2026-6831,2026-07-29T11:05:10.421Z,2026-07-30T11:05:10.421Z,5.69,1.02,setl_MjFAq1K2YFkGBA
pay_knAOMe49DzecW5,order_Z0uJzJBXT0vF4m,3538.55,INR,failed,upi,Payment for INV-2026-6023,2026-08-09T08:41:07.314Z,,0,0,
pay_FkRfdCTpCAkcmK,order_2sMKpLBVIWTDr9,227.95,INR,captured,upi,Payment for INV-2026-7778,2026-08-09T01:38:15.375Z,2026-08-09T01:38:15.375Z,4.56,0.82,setl_DBMr2aKNGuS8WF
pay_bdj74IzwyHWlZx,order_anfdFHkwamni0s,3604.19,INR,captured,upi,Payment for INV-2026-0875,2026-08-10T09:31:27.822Z,2026-08-10T09:31:27.822Z,72.08,12.97,setl_XnyGIsF60yk1AL
pay_FtaUsBUZbRnU6k,order_EgpExCtxP3uHbl,4003.25,INR,captured,card,Payment for INV-2026-7980,2026-07-28T19:00:49.138Z,2026-07-28T19:00:49.138Z,80.06,14.41,setl_4TMHFLjtipB8hk
pay_uC6p5RUefMTGlZ,order_talSgz9Xju6fmC,1256.1,INR,captured,card,Payment for INV-2026-7305,2026-07-26T05:37:57.553Z,2026-07-26T05:37:57.553Z,25.12,4.52,setl_1F2ryRQPZyFGkG
pay_5FstNqBL0biumR,order_VhDNVwiG4eGCbi,2517.32,INR,captured,upi,Payment for INV-2026-1126,2026-08-16T03:38:37.511Z,2026-08-16T03:38:37.511Z,50.35,9.06,setl_mC1VCor7fd5mYZ
pay_rEqLy98mc68PCg,order_asKkvEJ0ZAMw5Q,892.99,INR,captured,netbanking,Payment for INV-2026-0639,2026-08-16T22:10:44.915Z,2026-08-19T22:10:44.915Z,17.86,3.21,setl_XexYHvlSdZCp9E
pay_ic5Qx7A6ouullD,order_LRu7qASgjRpXG1,429.19,INR,captured,upi,Payment for INV-2026-0475,2026-08-07T21:52:28.380Z,2026-08-07T21:52:28.380Z,8.58,1.54,setl_7CT5zU2UxM3wb4
pay_WxiFhdI5QXktfz,order_g6l31c0IuGdrGT,2300.1,INR,captured,card,Payment for INV-2026-9881,2026-08-06T04:59:30.769Z,2026-08-06T04:59:30.769Z,46,8.28,setl_mHicGmsXlo6nOb
pay_wgK1MO2ysy3SlN,order_38siOG5bYBFH3O,856.3,INR,captured,upi,Payment for INV-2026-7555,2026-07-31T07:36:33.463Z,2026-07-31T07:36:33.463Z,17.13,3.08,setl_dbGxtmiOCrdJuC
pay_iOZ4v3ZzHcfF2Z,order_JnTpKDbohpd527,2348.09,INR,captured,card,Payment for INV-2026-5280,2026-08-07T11:20:02.040Z,2026-08-07T11:20:02.040Z,46.96,8.45,setl_eqSzBAqVzKxOSP
pay_DhbKHq2FTu6d0k,order_NpAY462p2IsOvo,165.55,INR,captured,upi,Payment for INV-2026-7354,2026-08-16T23:34:28.334Z,2026-08-16T23:34:28.334Z,3.31,0.6,setl_N3BL4iPaxqJ96k
pay_XkblFSSQYc530o,order_OJHvrOGO1y5xLC,4235.29,INR,captured,card,Payment for INV-2026-3533,2026-08-04T06:58:31.561Z,2026-08-04T06:58:31.561Z,84.71,15.25,setl_njAgWbo2u9EfFo
pay_24RnEumFSnZvOs,order_5g84zx9GnoPfNJ,2676.32,INR,captured,netbanking,Payment for INV-2026-2766,2026-08-17T09:55:12.372Z,2026-08-20T09:55:12.372Z,53.53,9.64,setl_JUsmVHXsCGYo61
pay_l3DhZG97YEn3Lh,order_uNAnoCLOIK3UDM,1783.59,INR,captured,netbanking,Payment for INV-2026-2886,2026-08-16T22:16:54.510Z,2026-08-18T22:16:54.510Z,35.67,6.42,setl_p7aqyArMCeeS2C
pay_MT0Iz0LkEPVOny,order_BQwTnuifExBKyB,3529.49,INR,captured,card,Payment for INV-2026-9029,2026-07-25T09:46:44.560Z,2026-07-25T09:46:44.560Z,70.59,12.71,setl_tL0mvCXVExOHUQ
pay_E7Ii7WfR0FyVyZ,order_4h561NZTq2RCVL,797.09,INR,captured,netbanking,Payment for INV-2026-4589,2026-08-04T20:56:17.009Z,2026-08-07T20:56:17.009Z,15.94,2.87,setl_ojdsJctc0OsB64
pay_diI5WaYXx8miEK,order_chZtNzzM0oELgI,1344.59,INR,captured,card,Payment for INV-2026-2829,2026-08-16T10:52:48.719Z,2026-08-16T10:52:48.719Z,26.89,4.84,setl_heF3L3nBWdpDwz
pay_nAitjBJyuO40Ic,order_F7ppauL0gI5M5A,3760.69,INR,captured,upi,Payment for INV-2026-0539,2026-08-09T14:07:32.697Z,2026-08-09T14:07:32.697Z,75.21,13.54,setl_aLUbJuNhq2gwJB
pay_ii2RtUaNuKE9CL,order_Jrl3AannZcxmWn,1461.45,INR,captured,upi,Payment for INV-2026-5171,2026-08-22T05:20:41.423Z,2026-08-22T05:20:41.423Z,29.23,5.26,setl_cTGCB09BF4zk0J
pay_lfWPjzDM2eNvoS,order_NjfzKqfjK3gweV,4011.09,INR,captured,upi,Payment for INV-2026-4930,2026-07-26T03:31:58.341Z,2026-07-26T03:31:58.341Z,80.22,14.44,setl_mtdq3fxOSbzxRh
pay_x0zLoiWJroKPWu,order_Qg4Yeq5jyX4NIl,1684.55,INR,captured,upi,Payment for INV-2026-4477,2026-08-18T13:27:42.314Z,2026-08-18T13:27:42.314Z,33.69,6.06,setl_ua2rrIcSVkJ1sq
pay_gXqUMucRlnpoxH,order_uQbvECZH6NVDw7,4333.8,INR,captured,card,Payment for INV-2026-1040,2026-07-25T19:55:58.742Z,2026-07-25T19:55:58.742Z,86.68,15.6,setl_xaXolb0YnSYpJB
pay_fO2prgzBZQ4rwG,order_cN5Z5vAINuAqrv,312.79,INR,captured,card,Payment for INV-2026-7205,2026-08-21T04:28:11.131Z,2026-08-21T04:28:11.131Z,6.26,1.13,setl_uoLICSIeHEWvlb
pay_6Ws66ImjTKi0AM,order_FLermOF3MI4Qxn,4467.89,INR,failed,upi,Payment for INV-2026-0686,2026-08-20T17:38:25.676Z,,0,0,
pay_2EfBX6ccdzcrdk,order_wIXlIxdwCVcGTs,3941.75,INR,failed,upi,Payment for INV-2026-7173,2026-08-18T04:10:07.209Z,,0,0,
pay_wflhklF6Zpmhq6,order_mGM5jBKCDn8zBQ,322.8,INR,captured,card,Payment for INV-2026-9846,2026-08-06T09:08:36.057Z,2026-08-06T09:08:36.057Z,6.46,1.16,setl_6wbshM8J1AwVkx
pay_slguFDlln9qZCw,order_OwJISEvR6p2uj0,1164.19,INR,captured,card,Payment for INV-2026-6843,2026-07-27T12:11:02.629Z,2026-07-27T12:11:02.629Z,23.28,4.19,setl_Ov8I5L5cuWW9Xz
pay_GwsikrUUIo05Xe,order_6dn1DBRbDoVPPi,3854.1,INR,captured,card,Payment for INV-2026-8290,2026-08-05T18:14:22.171Z,2026-08-05T18:14:22.171Z,77.08,13.87,setl_kLwDlzLtllLvs7
pay_SXHNxcpNEasKlM,order_Qn68Il9r6KcNCk,4267.85,INR,failed,upi,Payment for INV-2026-5256,2026-08-08T12:16:18.031Z,,0,0,
pay_kaB6HA7JsN4tDe,order_QXKUiIOBHOsXmT,4945.45,INR,captured,upi,Payment for INV-2026-1850,2026-08-23T10:15:29.961Z,2026-08-23T10:15:29.961Z,98.91,17.8,setl_zT7VP2h3DuzGjz
pay_umxRmAncOt7w5z,order_DguSQLJyqWZ6OP,3722.49,INR,failed,upi,Payment for INV-2026-4756,2026-08-19T16:45:28.685Z,,0,0,
pay_RzX17DsnXGiXGZ,order_U5ax86odedNKDA,4779.49,INR,captured,upi,Payment for INV-2026-6004,2026-08-05T12:13:14.309Z,2026-08-05T12:13:14.309Z,95.59,17.21,setl_5nzrKm3CLF2JAD
pay_fyONKoYHtG7zgF,order_gYiKFaIGIDrgnw,2237.59,INR,failed,upi,Payment for INV-2026-1194,2026-07-26T03:06:30.065Z,,0,0,
pay_q7ooTO5o3HxGbY,order_8ESBiZ4G3OXL0Q,4490.5,INR,captured,netbanking,Payment for INV-2026-4993,2026-07-26T22:47:55.956Z,2026-07-29T22:47:55.956Z,89.81,16.17,setl_42ivNO36PoftbA
pay_SL4VFmlgWnfrTU,order_KpIx9HQNPfGulc,879.45,INR,captured,netbanking,Payment for INV-2026-5795,2026-08-06T04:52:46.548Z,2026-08-10T04:52:46.548Z,17.59,3.17,setl_hQKgUSa7p1EgQO
pay_P8bPO3tGLEksY1,order_6uaGLEspHBKlds,1595.19,INR,captured,upi,Payment for INV-2026-3501,2026-07-29T11:01:42.752Z,2026-07-29T11:01:42.752Z,31.9,5.74,setl_ksJft63JOBSAmd
pay_IyR1kRDOlY1ixg,order_vp0TTT92X2wTCV,4869.69,INR,captured,card,Payment for INV-2026-9692,2026-07-31T20:16:07.854Z,2026-07-31T20:16:07.854Z,97.39,17.53,setl_1o5avTEdGJfUqh
pay_ygfBUbTWv41VUQ,order_nq8kaH5loXho1v,2548,INR,captured,card,Payment for INV-2026-9057,2026-07-31T04:13:47.145Z,2026-07-31T04:13:47.145Z,50.96,9.17,setl_AYUvAp51qvwQ04
pay_vuURbZwcQypUcR,order_rCSCG7of0rxRiW,3349,INR,captured,upi,Payment for INV-2026-7262,2026-08-14T02:58:24.919Z,2026-08-14T02:58:24.919Z,66.98,12.06,setl_VE1C7oBW5mPj81
pay_EYslokpbMgHE3W,order_DbMgU3BHwOhvXg,2778.35,INR,captured,card,Payment for INV-2026-0488,2026-07-27T02:42:54.585Z,2026-07-27T02:42:54.585Z,55.57,10,setl_kgkCmldV0TAvL2
pay_lTvYT4UtGldhRE,order_fIVEedku4RouGN,163.45,INR,captured,upi,Payment for INV-2026-5663,2026-08-02T19:05:08.043Z,2026-08-02T19:05:08.043Z,3.27,0.59,setl_Q94fxsz3E3kVrK
pay_GzHco88z7ydgwG,order_njYsEKrF571F7B,2339.65,INR,captured,upi,Payment for INV-2026-4172,2026-08-03T05:08:37.106Z,2026-08-03T05:08:37.106Z,46.79,8.42,setl_TdCSu1rEdjoXFD
pay_GDHAQDRdcoWtMP,order_eCxTDjUcixu3Ai,4382.29,INR,captured,upi,Payment for INV-2026-1923,2026-08-18T01:49:59.544Z,2026-08-18T01:49:59.544Z,87.65,15.78,setl_slYPVUikWrQ8sT
pay_xBxMAZRNOjNl2z,order_vZfjkEUYxu2p1D,4495.6,INR,captured,upi,Payment for INV-2026-2740,2026-08-21T02:51:43.362Z,2026-08-21T02:51:43.362Z,89.91,16.18,setl_ttPfFkBQ05AMfQ
pay_gBvaZoh48sRs11,order_9Cuabh0KXZjfyt,3433.26,INR,captured,upi,Payment for INV-2026-8875,2026-08-11T18:02:09.884Z,2026-08-11T18:02:09.884Z,68.67,12.36,setl_TMfmteNLCmvPSt
pay_6LpU5dTYGStuKc,order_GrhmM8MTfNQdky,1804.39,INR,captured,card,Payment for INV-2026-4924,2026-07-30T19:44:43.575Z,2026-07-30T19:44:43.575Z,36.09,6.5,setl_idxsrzLXxcpdMy
pay_JG365636GeOTpM,order_F0DPeoWUQ49XBL,923.89,INR,captured,upi,Payment for INV-2026-8356,2026-07-31T22:29:39.144Z,2026-07-31T22:29:39.144Z,18.48,3.33,setl_2yKueihGb3E1K5
pay_zaVXn90wC9IEeR,order_mzorwka8UzBHj4,1124.69,INR,captured,upi,Payment for INV-2026-4049,2026-08-15T12:23:30.234Z,2026-08-15T12:23:30.234Z,22.49,4.05,setl_m65GDhwqkLNWIl
pay_yDC4TvHTgZ5UCu,order_RxpHL1lL7iU4gJ,4635.99,INR,captured,upi,Payment for INV-2026-6712,2026-08-11T13:54:25.198Z,2026-08-11T13:54:25.198Z,92.72,16.69,setl_qwa1MoSwvmTGnq
pay_tB9E0b1h9yAUke,order_XRm0h4xhz4OM9q,279.42,INR,captured,upi,Payment for INV-2026-2726,2026-08-15T19:04:08.711Z,2026-08-15T19:04:08.711Z,5.59,1.01,setl_EXNz7Ojkb43snA
pay_NzyZ8oqffJQLmG,order_tByu9SFeHvJopn,1923.09,INR,captured,upi,Payment for INV-2026-5348,2026-07-25T18:40:45.603Z,2026-07-25T18:40:45.603Z,38.46,6.92,setl_fQNpVfETIWofTt
pay_YdXVVtjN98LPDL,order_6JpLvMq4X5z5ju,2114.45,INR,captured,upi,Payment for INV-2026-2847,2026-08-07T05:54:13.440Z,2026-08-07T05:54:13.440Z,42.29,7.61,setl_njpoV6qq0znifw
pay_CqFcuZloQA0wpr,order_wA1da9rUiG46BM,636.34,INR,captured,netbanking,Payment for INV-2026-9279,2026-08-19T14:22:52.908Z,2026-08-20T14:22:52.908Z,12.73,2.29,setl_42cmzGYcApYUuG
pay_hqy1Q4WgPNmkVV,order_uEMsPUAQFp9zyQ,998.99,INR,captured,card,Payment for INV-2026-6240,2026-08-13T18:03:16.437Z,2026-08-13T18:03:16.437Z,19.98,3.6,setl_DZOkis44aXckUT
pay_FpVNdMcvr4IU8e,order_oQf8T6j9G7vNoE,4211.14,INR,captured,upi,Payment for INV-2026-3371,2026-08-16T07:51:55.957Z,2026-08-16T07:51:55.957Z,84.22,15.16,setl_YYSTERdNrCkZ7J
pay_Y7O9ZwwrfBlFIw,order_IZLrK9HAoKMCHl,1351.05,INR,failed,upi,Payment for INV-2026-3382,2026-08-19T08:21:33.581Z,,0,0,
pay_Gr4f4aasQewLfZ,order_nJ415TtTrQRPS5,3284.99,INR,captured,upi,Payment for INV-2026-8064,2026-07-28T02:06:01.098Z,2026-07-28T02:06:01.098Z,65.7,11.83,setl_Ggv45rfz5D07rs
pay_YIFgU0aolQW3lz,order_8a5IVhMUsPZpVU,175.79,INR,captured,card,Payment for INV-2026-4131,2026-08-22T16:02:10.818Z,2026-08-22T16:02:10.818Z,3.52,0.63,setl_kPYl6IAN7DIklh
