txn_id,date,narration,credit,debit,balance,utr,mode
TXN2495426061,2026-08-29,PART1-RAZORPAY-pay_p8RV7H8gdjpzvu,2357.14,0,139736.36000000002,UTR373214754312,NEFT
TXN4982248208,2026-08-29,PART2-RAZORPAY-pay_p8RV7H8gdjpzvu,1571.42,0,141307.78000000003,UTR651598028647,NEFT
TXN2946290101,2026-08-19,PART1-RAZORPAY-pay_OCR8kN2myjHEBM,337.38,0,141645.16000000003,UTR153845643237,NEFT
TXN2963950634,2026-08-19,PART2-RAZORPAY-pay_OCR8kN2myjHEBM,224.92,0,141870.08000000005,UTR369803971957,NEFT
TXN6327635663,2026-08-05,NEFT-RAZORPAY-pay_VSQighuMAI3y2H,1465.53,0,143335.61000000004,UTR229544921055,NEFT
TXN0752050698,2026-08-29,RTGS-RAZORPAY-pay_rgFctmAHAuwpCl,2057.81,0,145393.42000000004,UTR471144533959,RTGS
TXN7324090744,2026-08-31,RTGS-RAZORPAY-pay_idR8ym7EwbbiW5,3693.51,0,149086.93000000005,UTR399493040805,RTGS
TXN0055646366,2026-08-15,IMPS-RAZORPAY-pay_TinONUpIvjkmES,3832.98,0,152919.91000000006,UTR264793299878,IMPS
TXN9986945133,2026-08-07,UPI/RZP*/GLiqEi/c9SpJ2...,1129,0,154048.91000000006,UTR774731908583,UPI
TXN6749788782,2026-08-26,NEFT-RAZORPAY-pay_xjKaIIFrIq9mnJ,1627.02,0,155675.93000000005,UTR923249484543,NEFT
TXN2750130781,2026-09-05,RTGS-RAZORPAY-pay_b2bBPKH8aQ4TaJ,1636.5,0,157312.43000000005,UTR502130928322,RTGS
TXN4900076280,2026-08-20,NEFT-RAZORPAY-pay_f4WH9EYXbtSiUW,4443.69,0,161756.12000000005,UTR509451851383,NEFT
TXN6383091733,2026-08-07,IMPS-RAZORPAY-pay_mlBz8QvZT3ejrc,1282.84,0,163038.96000000005,UTR932190756501,IMPS
TXN9309196997,2026-08-28,IMPS-RAZORPAY-pay_RyH9tOZHD7Gi9g,4133.06,0,167172.02000000005,UTR481653314738,IMPS
TXN3784446689,2026-08-22,IMPS-RAZORPAY-pay_AEgsonDwBimsOx,2400.79,0,169572.81000000006,UTR359493071038,IMPS
TXN0891613948,2026-08-17,NEFT-RAZORPAY-pay_CXpCQbJYk4bcl2,2169.94,0,171742.75000000006,UTR383335712875,NEFT
TXN3910833410,2026-08-18,RTGS-RAZORPAY-pay_20SKIeaCzHjJEi,1309.93,0,173052.68000000005,UTR978675492686,RTGS
TXN1531281398,2026-08-22,PART1-RAZORPAY-pay_ghBT8vielT96GQ,1950.62,0,175003.30000000005,UTR558251488387,NEFT
TXN3650195184,2026-08-22,PART2-RAZORPAY-pay_ghBT8vielT96GQ,1300.42,0,176303.72000000006,UTR608592272313,NEFT
TXN0934324534,2026-08-31,NEFT-RAZORPAY-pay_gMuzm0UZR29SYI,2856.06,0,179159.78000000006,UTR378255578177,NEFT
TXN7615533901,2026-08-26,UPI/RZP*/DAcAOZ/49M1id...,689.23,0,179849.01000000007,UTR576124844328,UPI
TXN2739464622,2026-08-11,RTGS-RAZORPAY-pay_2nrt1lDpYWG0nR,4343.61,0,184192.62000000005,UTR420023135952,RTGS
TXN0792285260,2026-08-08,NEFT-RAZORPAY-pay_f7vA3BOlfSllGx,816.12,0,185008.74000000005,UTR663151985828,NEFT
TXN8032803878,2026-09-02,NEFT-RAZORPAY-pay_hFG02OiCE1cZeq,2633.54,0,187642.28000000006,UTR954658243979,NEFT
TXN5083247876,2026-08-23,NEFT-RAZORPAY-pay_fubnBgmyxSVbPt,2363.37,0,190005.65000000005,UTR892815937423,NEFT
TXN6924104183,2026-08-14,NEFT-RAZORPAY-pay_PgYrzbBzVzdh4a,3636.79,0,193642.44000000006,UTR657693009507,NEFT
TXN1166790594,2026-08-05,PART1-RAZORPAY-pay_SsQzwnJJZbpNKk,1098.51,0,194740.95000000007,UTR847146637794,NEFT
TXN9378467968,2026-08-05,PART2-RAZORPAY-pay_SsQzwnJJZbpNKk,732.34,0,195473.29000000007,UTR562165024630,NEFT
TXN6619157806,2026-08-05,NEFT-RAZORPAY-pay_RRbUMye94PdBLJ,1723.5,0,197196.79000000007,UTR471771489891,NEFT
TXN7512947160,2026-08-26,NEFT-RAZORPAY-pay_acUtOqQoOHEnYd,1208.87,0,198405.66000000006,UTR742669664419,NEFT
TXN5595641804,2026-08-15,NEFT-RAZORPAY-pay_T8qcZfL48NX6S8,947.06,0,199352.72000000006,UTR904560330188,NEFT
TXN1649930666,2026-08-28,NEFT-RAZORPAY-pay_J7j1VelzPAnBeN,1768.16,0,201120.88000000006,UTR215746104012,NEFT
TXN0986825133,2026-08-21,RTGS-RAZORPAY-pay_NmCTYjj1SbDW5m,1082.52,0,202203.40000000005,UTR135246984347,RTGS
TXN7026105753,2026-08-12,NEFT-RAZORPAY-pay_PWZV0Gx5AgoSog,3387.21,0,205590.61000000004,UTR317797768055,NEFT
TXN3934527999,2026-08-10,NEFT-RAZORPAY-pay_PdjU9Hj0vBqOx8,2159.59,0,207750.20000000004,UTR089847882613,NEFT
TXN7800920252,2026-08-07,PART1-RAZORPAY-pay_i084tf2y9JlekR,1321,0,209071.20000000004,UTR297830963560,NEFT
TXN2769607020,2026-08-07,PART2-RAZORPAY-pay_i084tf2y9JlekR,880.67,0,209951.87000000005,UTR303228672377,NEFT
TXN0909266991,2026-08-20,RTGS-RAZORPAY-pay_26n6UOAZporlTx,2253.13,0,212205.00000000006,UTR982912469382,RTGS
TXN9790795067,2026-08-28,UPI/RZP*/XcY2u4/x8cCiD...,2703.43,0,214908.43000000005,UTR013413253792,UPI
TXN0339345453,2026-08-15,UPI/RZP*/Pp0xQ0/Cc9j0N...,3632.41,0,218540.84000000005,UTR525104481548,UPI
TXN3545357964,2026-08-11,PART1-RAZORPAY-pay_7NXwWzueQjEj2M,819.88,0,219360.72000000006,UTR731605408103,NEFT
TXN3631890895,2026-08-11,PART2-RAZORPAY-pay_7NXwWzueQjEj2M,546.58,0,219907.30000000005,UTR424078760413,NEFT
TXN2813037454,2026-08-09,NEFT-RAZORPAY-pay_z7D4bSKWyKxZFQ,3959.59,0,223866.89000000004,UTR634927377096,NEFT
TXN3197164803,2026-08-30,NEFT-RAZORPAY-pay_Y64hmqm0MYMLy5,1530.46,0,225397.35000000003,UTR673136681739,NEFT
TXN6000531526,2026-08-30,NEFT-RAZORPAY-pay_2QFeiS8cEL0GDE,1886.51,0,227283.86000000004,UTR308235844282,NEFT
TXN9115616181,2026-08-22,PART1-RAZORPAY-pay_F9hzMQGiLzEsWI,847.58,0,228131.44000000003,UTR871950503620,NEFT
TXN8994056987,2026-08-22,PART2-RAZORPAY-pay_F9hzMQGiLzEsWI,565.06,0,228696.50000000003,UTR484548847871,NEFT
TXN3346352660,2026-08-22,IMPS-RAZORPAY-pay_u58shNmUkCWy8J,992.13,0,229688.63000000003,UTR741516899955,IMPS
TXN5611030473,2026-08-08,IMPS-RAZORPAY-pay_URWxU8XBW7cpnx,3504.37,0,233193.00000000003,UTR702568571151,IMPS
TXN3978756192,2026-08-20,NEFT-RAZORPAY-pay_zEfGXD8hBL2g5K,417.07,0,233610.07000000004,UTR168514713094,NEFT
TXN3996422409,2026-08-16,NEFT-RAZORPAY-pay_Qq1GS743Y2hjII,2670.5,0,236280.57000000004,UTR977657200016,NEFT
TXN4248208625,2026-08-09,RTGS-RAZORPAY-pay_QlgOJIF506lcnF,1677.93,0,237958.50000000003,UTR304705514473,RTGS
TXN1142378416,2026-08-16,IMPS-RAZORPAY-pay_Jcq0Er9UUKrWKb,2554.74,0,240513.24000000002,UTR660740195833,IMPS
TXN3457154082,2026-08-17,PART1-RAZORPAY-pay_j3w1ZHnHi46s1e,2435.5,0,242948.74000000002,UTR894262639494,NEFT
TXN4259358374,2026-08-17,PART2-RAZORPAY-pay_j3w1ZHnHi46s1e,1623.67,0,244572.41000000003,UTR068218346996,NEFT
TXN4698487811,2026-08-09,NEFT-RAZORPAY-pay_I4yU1bHndq8Fwo,4772.79,0,249345.20000000004,UTR713932960180,NEFT
TXN7110243796,2026-08-07,NEFT-RAZORPAY-pay_WbrrhidfCu9eMo,2703.44,0,252048.64000000004,UTR281381067462,NEFT
TXN6980164222,2026-08-20,NEFT-RAZORPAY-pay_2hoOaFAHSry5aM,3535.34,0,255583.98000000004,UTR108495950039,NEFT
TXN9665781213,2026-08-16,IMPS-RAZORPAY-pay_OmrjwvkyZTnmbj,3014.56,0,258598.54000000004,UTR033884328742,IMPS
TXN2977365077,2026-08-12,RTGS-RAZORPAY-pay_qOeOiT8UGhflFe,3729.75,0,262328.29000000004,UTR015249857231,RTGS
TXN2019535291,2026-09-03,IMPS-RAZORPAY-pay_PsRY8kXiBsPy6M,567.23,0,262895.52,UTR742381945659,IMPS
TXN7453090892,2026-08-22,NEFT-RAZORPAY-pay_FnBx66Xi6y7DWF,2018.01,0,264913.53,UTR885164596523,NEFT
TXN4394778557,2026-08-26,NEFT-RAZORPAY-pay_ohuof02qpSralx,2637.51,0,267551.04000000004,UTR248645553026,NEFT
TXN9988470158,2026-08-15,NEFT-RAZORPAY-pay_rncAbtanP8fRgJ,4826.54,0,272377.58,UTR660636670014,NEFT
TXN9809206118,2026-08-05,IMPS-RAZORPAY-pay_fpcrle30FDUXmw,4643.69,0,277021.27,UTR937735299134,IMPS
TXN1313233364,2026-08-22,NEFT-RAZORPAY-pay_Tx1xEhIPHYDHwV,1755.85,0,278777.12,UTR048034080391,NEFT
TXN3128342297,2026-08-06,UPI/RZP*/SaEUSr/YLgciw...,1076.77,0,279853.89,UTR466904813460,UPI
TXN0936104781,2026-08-29,NEFT-RAZORPAY-pay_lKb8pIXRW6lhEV,2834.78,0,282688.67000000004,UTR621425884498,NEFT
TXN2250421005,2026-08-20,IMPS-RAZORPAY-pay_eYz3x44TnnZelD,2149.85,0,284838.52,UTR013755741397,IMPS
TXN4761815057,2026-08-21,IMPS-RAZORPAY-pay_uoQOI6jyX5UwQf,3002.58,0,287841.10000000003,UTR497659108801,IMPS
TXN2639955422,2026-08-17,RTGS-RAZORPAY-pay_AkYahezuA22pJG,4786.52,0,292627.62000000005,UTR214540012067,RTGS
TXN2587559642,2026-08-27,PART1-RAZORPAY-pay_LgNkfDkYiSNUP9,2763.64,0,295391.26000000007,UTR345680423800,NEFT
TXN1084359818,2026-08-27,PART2-RAZORPAY-pay_LgNkfDkYiSNUP9,1842.43,0,297233.69000000006,UTR996697439139,NEFT
TXN2293413883,2026-09-02,NEFT-RAZORPAY-pay_RBMx8fxZFfZTEh,1740.04,0,298973.73000000004,UTR195928465510,NEFT
TXN7938986358,2026-09-01,NEFT-RAZORPAY-pay_TBp5tksOJT3Ns3,811.73,0,299785.46,UTR871969683494,NEFT
TXN8804797943,2026-08-24,NEFT-RAZORPAY-pay_BiYsoGhQhcVDq6,4399.71,0,304185.17000000004,UTR870434353742,NEFT
TXN0509257685,2026-08-14,NEFT-RAZORPAY-pay_pa4OUBprkftQyY,4633.36,0,308818.53,UTR208674437522,NEFT
TXN0665089400,2026-08-25,RTGS-RAZORPAY-pay_zHZ0mXva7S5YBA,3483.69,0,312302.22000000003,UTR353282249530,RTGS
TXN4840290558,2026-08-30,RTGS-RAZORPAY-pay_1RTP4glJpeIVJR,863.29,0,313165.51,UTR581228165726,RTGS
TXN0922956626,2026-08-14,IMPS-RAZORPAY-pay_XEyIwYFCRjCAYL,1080.02,0,314245.53,UTR193297432014,IMPS
TXN3269234758,2026-08-19,NEFT-RAZORPAY-pay_MXWHLWS4P7KDDQ,3769.78,0,318015.31000000006,UTR676620924019,NEFT
TXN4068450267,2026-08-24,RTGS-RAZORPAY-pay_bVEFgesIhaYiEo,1412.45,0,319427.76000000007,UTR133801467755,RTGS
TXN5729213808,2026-08-07,NEFT-RAZORPAY-pay_IPZ64vytJnf0lM,3421.69,0,322849.45000000007,UTR884285976656,NEFT
TXN2657761681,2026-08-15,NEFT-RAZORPAY-pay_gw2HVnLECsxWwg,840.39,0,323689.8400000001,UTR568756021930,NEFT
TXN5163861964,2026-08-11,NEFT-RAZORPAY-pay_5NnZxNM6ctFIs1,2517.84,0,326207.6800000001,UTR869004625295,NEFT
TXN4728878425,2026-08-15,NEFT-RAZORPAY-pay_DohAweZmrnS2g8,1877.71,0,328085.39000000013,UTR339458830626,NEFT
TXN6912985350,2026-08-08,NEFT-RAZORPAY-pay_NaIJulk0UzFDfs,2696.61,0,330782.0000000001,UTR136946864273,NEFT
TXN4263211872,2026-08-15,UPI/RZP*/2LkLtU/mFwkoc...,3877.76,0,334659.7600000001,UTR963980927814,UPI
TXN8814342764,2026-08-19,RTGS-RAZORPAY-pay_6IAfV4qltPLIVT,1509.79,0,336169.5500000001,UTR230872895025,RTGS
TXN1547559412,2026-08-31,UPI/RZP*/LDwq4D/UdyXLb...,1226.55,0,337396.1000000001,UTR274879026257,UPI
TXN9810077510,2026-08-19,IMPS-RAZORPAY-pay_hDp16shc1JIiG6,2942.03,0,340338.1300000001,UTR470628153200,IMPS
TXN2119893173,2026-08-14,NEFT-RAZORPAY-pay_RPzYHGN51H5RpH,4370.7,0,344708.83000000013,UTR350591233883,NEFT
TXN8078421420,2026-08-31,UPI/RZP*/CAxdTS/ZB5tQm...,2774.59,0,347483.42000000016,UTR541435101809,UPI
TXN2930576283,2026-08-09,PART1-RAZORPAY-pay_HhPaug73uWRUgF,478.78,0,347962.2000000002,UTR599322709076,NEFT
TXN2215256171,2026-08-09,PART2-RAZORPAY-pay_HhPaug73uWRUgF,319.19,0,348281.3900000002,UTR263185188375,NEFT
TXN0190379920,2026-08-31,IMPS-RAZORPAY-pay_FdA9LgaNSjqMo1,1602.51,0,349883.9000000002,UTR495657842463,IMPS
TXN2287443246,2026-08-20,PART1-RAZORPAY-pay_C5sUSIsgEOi7ml,824.36,0,350708.2600000002,UTR611540554647,NEFT
TXN5829484820,2026-08-20,PART2-RAZORPAY-pay_C5sUSIsgEOi7ml,549.58,0,351257.8400000002,UTR151972625982,NEFT
TXN6299349012,2026-08-23,IMPS-RAZORPAY-pay_4VQJ8hbiCclIkR,4091,0,355348.8400000002,UTR417427679246,IMPS
TXN4832903409,2026-09-01,NEFT-RAZORPAY-pay_qO6NZBFZjErADG,3871.63,0,359220.4700000002,UTR425495389856,NEFT
TXN7293302524,2026-08-25,IMPS-RAZORPAY-pay_rrdQRASRpDVii2,100.18,0,359320.6500000002,UTR849622989254,IMPS
TXN3258066075,2026-08-14,NEFT-RAZORPAY-pay_Mc84DX6hUdnQaQ,2626.51,0,361947.1600000002,UTR875746202301,NEFT
TXN7081207045,2026-08-29,RTGS-RAZORPAY-pay_fZUCIpWrjYlh68,1852.39,0,363799.5500000002,UTR538338034396,RTGS
TXN7407440644,2026-08-25,RTGS-RAZORPAY-pay_frPtfeL2mgsf7J,1758.39,0,365557.94000000024,UTR905738739449,RTGS
TXN7234075059,2026-08-14,UPI/RZP*/R8LIHb/tH0QPM...,4684.62,0,370242.56000000023,UTR700504785310,UPI
TXN7657225155,2026-08-13,RTGS-RAZORPAY-pay_1N7XVRR6pi5Q9r,4617.45,0,374860.01000000024,UTR291263809186,RTGS
TXN6341906421,2026-08-26,PART1-RAZORPAY-pay_vrWRkNmrGUZc7P,2341.66,0,377201.6700000002,UTR903986657066,NEFT
TXN9783333698,2026-08-26,PART2-RAZORPAY-pay_vrWRkNmrGUZc7P,1561.1,0,378762.7700000002,UTR452084135141,NEFT
TXN9243756409,2026-08-06,IMPS-RAZORPAY-pay_v3Q3YY2apIFRLD,2276.82,0,381039.5900000002,UTR627682487437,IMPS
TXN9801414810,2026-08-05,NEFT-RAZORPAY-pay_2TqnZJ1Yt7yIvG,3129.36,0,384168.9500000002,UTR794205835074,NEFT
TXN8234605768,2026-09-03,NEFT-RAZORPAY-pay_HTRIs2GL4VQszi,2230.19,0,386399.1400000002,UTR267124868813,NEFT
TXN1638417137,2026-08-15,RTGS-RAZORPAY-pay_kY8uqEjL9QuI0R,2548.35,0,388947.49000000017,UTR795807123660,RTGS
TXN8319768293,2026-08-29,IMPS-RAZORPAY-pay_2UdkLmC9xJguJ4,439.45,0,389386.9400000002,UTR533177536257,IMPS
TXN3433474907,2026-08-20,NEFT-RAZORPAY-pay_EzV5ZWDuO5Gjt2,1432.37,0,390819.3100000002,UTR631915782804,NEFT
TXN4523662417,2026-08-16,NEFT-RAZORPAY-pay_m6ct8jVU1AeS14,2712.04,0,393531.35000000015,UTR585273346574,NEFT
TXN5372485761,2026-08-22,NEFT-RAZORPAY-pay_a64K3j4VWoztXC,2378.11,0,395909.46000000014,UTR373324691957,NEFT
TXN8874126902,2026-08-26,RTGS-RAZORPAY-pay_oeT0UAEFzMI7jY,324.01,0,396233.47000000015,UTR632367405088,RTGS
TXN6136472004,2026-08-12,UPI/RZP*/TkWbFu/MRahQA...,2000.25,0,398233.72000000015,UTR100379426550,UPI
TXN0985862092,2026-08-18,PART1-RAZORPAY-pay_jwTHgnMKYSOzq9,2687.36,0,400921.08000000013,UTR716404109152,NEFT
TXN7448310669,2026-08-18,PART2-RAZORPAY-pay_jwTHgnMKYSOzq9,1791.58,0,402712.66000000015,UTR202050564946,NEFT
TXN3293225264,2026-08-13,NEFT-RAZORPAY-pay_gzejGxnQ1HcoYf,2224.78,0,404937.4400000002,UTR614567305055,NEFT
TXN1823376665,2026-08-17,NEFT-RAZORPAY-pay_rYzGqU1aR6jAwA,4718.73,0,409656.17000000016,UTR107776367877,NEFT
TXN6217248723,2026-08-22,NEFT-RAZORPAY-pay_O6vodQwzNzcfQC,4604.36,0,414260.53000000014,UTR387170178579,NEFT
TXN0529705544,2026-08-19,UPI/RZP*/lMFnjM/Ar4Bv2...,4380.71,0,418641.24000000017,UTR952454024475,UPI
TXN6992847433,2026-08-31,RTGS-RAZORPAY-pay_EdxZcfik3UmV6S,3786.58,0,422427.8200000002,UTR795499158133,RTGS
TXN4879981807,2026-08-19,NEFT-RAZORPAY-pay_ySSsNt9u8MHucu,1975.54,0,424403.36000000016,UTR544414993408,NEFT
TXN0225312234,2026-08-24,IMPS-RAZORPAY-pay_wjA2BcciCQfC87,598.04,0,425001.40000000014,UTR581779484524,IMPS
TXN2149171368,2026-08-11,PART1-RAZORPAY-pay_4AfxIcjB4KqZDZ,2379.97,0,427381.3700000001,UTR334985085957,NEFT
TXN3685696388,2026-08-11,PART2-RAZORPAY-pay_4AfxIcjB4KqZDZ,1586.64,0,428968.0100000001,UTR094172639241,NEFT
TXN7523716427,2026-08-12,UPI/RZP*/UFLxDM/qv3hgI...,1492.92,0,430460.9300000001,UTR004591929075,UPI
TXN2086959737,2026-08-16,IMPS-RAZORPAY-pay_11WfQKcA1VoV8j,4210.87,0,434671.8000000001,UTR581384299597,IMPS
TXN4609513274,2026-08-15,UPI/RZP*/nRRn65/cfmy6J...,3012.44,0,437684.2400000001,UTR990334129402,UPI
TXN6532347883,2026-09-02,PART1-RAZORPAY-pay_g1DBOaGvLxKuUo,2484.25,0,440168.4900000001,UTR187928765929,NEFT
TXN9702295236,2026-09-02,PART2-RAZORPAY-pay_g1DBOaGvLxKuUo,1656.17,0,441824.6600000001,UTR973290356101,NEFT
TXN6312673044,2026-08-25,NEFT-RAZORPAY-pay_elxFmzLByhC4P8,607.02,0,442431.6800000001,UTR486992221399,NEFT
